State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,71482144,71681424,72055856,72491664,73116880,74063696,74765440,75491296,76127008,76475776
Alaska,10139424,10277392,10374624,10548576,10671136,10804832,10884800,10999280,11182320,11363696
Arizona,84375632,86340080,88165824,90438464,93425232,96466256,98682896,100485792,101490464,102272272
Arkansas,43065136,43294832,43597056,43994976,44497552,45148176,45578400,45992864,46349488,46654688
California,551671328,557949488,564050544,569193216,573247088,576339232,580004976,585669392,591379664,596063296
Colorado,70810992,71846496,72459712,73200208,74110208,75526768,76861888,78235680,79555120,80467136
Connecticut,54925360,55339984,55749376,55937504,56111296,56279360,56436320,56729264,56988912,57185552
Delaware,12731184,12898704,13088048,13292848,13522400,13748288,13947984,14141984,14267680,14366944
District of Columbia,9192064,9170528,9096032,9084064,9074176,9130896,9190464,9283776,9475648,9627568
Florida,261711456,267029920,272065360,278645088,285472608,290671840,293885472,296436880,298442304,300820960
Georgia,134032608,136132096,137964688,140308032,142814752,146493008,149599808,152077488,153933536,155002448
Hawaii,19615168,19833808,20018464,20377104,20683664,20955696,21050800,21315408,21547472,21764816
Idaho,21119392,21445952,21814080,22268832,22851856,23498704,24081680,24549120,24871024,25081312
Illinois,199815120,200408896,200896096,201436368,201758448,202303280,203133856,203952608,204748448,205290112
Indiana,98044160,98495472,99146208,99728112,100457856,101322704,102073584,102796896,103349200,103740832
Iowa,46911952,46947744,47071984,47258160,47431264,47722304,47987392,48267744,48525920,48741680
Kansas,43234592,43416560,43568064,43749968,43924784,44206896,44540560,44929216,45323264,45649888
Kentucky,65090112,65438000,65874720,66337616,66923872,67507824,68106752,68638048,69073184,69429872
Louisiana,71646000,71956272,72336672,72835808,73226048,68842640,70009296,70969376,71866368,72533952
Maine,20571072,20735360,20904208,21019008,21100592,21177904,21232640,21288144,21273440,21253776
Maryland,85995056,87046224,87940304,88750960,89478064,90037872,90454528,90959440,91686208,92376832
Massachusetts,102362144,102675296,102761040,102596496,102452640,102561344,102904944,103503472,104281808,104762064
Michigan,159857920,160251360,160658432,160885040,160818192,160577296,160020544,159150224,158425456,158138240
Minnesota,79724736,80302960,80857152,81403408,81913568,82616880,83315248,83952288,84499248,84862800
Mississippi,45647904,45738896,45892992,46224160,46495088,46479648,46853600,47164896,47340384,47476752
Missouri,90258272,90797200,91350448,91963856,92644800,93483264,94201792,94782656,95377408,95822832
Montana,14511376,14586672,14714080,14880144,15041632,15243072,15435296,15622640,15743712,15830640
Nebraska,27517376,27652672,27818288,27989920,28183952,28363088,28535040,28742048,29002928,29221456
Nevada,33574384,34780656,35981600,37539552,38914288,40362528,41617152,42458080,42954640,43208816
New Hampshire,20088272,20305424,20477440,20641936,20775872,20934224,21000640,21054496,21057632,21063520
New Jersey,135882736,136842288,137622432,138152976,138431584,138586864,138846160,139377440,140089632,140670304
New Mexico,29307040,29684944,30041184,30460928,30916384,31394192,31841120,32170592,32588832,32946864
New York,305325408,306204800,306815024,306745072,306121760,305674096,306117360,307398976,308913056,310049632
North Carolina,131361952,133219216,134760016,136850432,139286512,142676320,145888592,148951184,151193056,152567728
North Dakota,10224992,10210688,10221072,10315280,10337424,10390752,10445152,10521104,10639488,10761456
Ohio,182198464,182526224,182956608,183236016,183413120,183699408,184007488,184246256,184462336,184584064
Oklahoma,55473600,55825280,56078272,56403728,56777552,57505440,58149584,58703616,59481152,60021616
Oregon,55486992,56214784,56758016,57111408,57811232,58734128,59558672,60299968,60937600,61297184
Pennsylvania,196783520,197296496,197994528,198571552,199199840,200172944,201022992,201796560,202669728,203238064
Rhode Island,16914272,17055920,17141472,17193264,17086656,17009536,16917040,16880048,16858336,16841072
South Carolina,65039920,65724720,66404752,67374736,68322400,69725552,71105760,72463936,73437952,74005824
South Dakota,12127552,12160320,12219664,12326336,12407888,12528528,12665968,12785984,12913072,13026880
Tennessee,92012624,92734688,93564992,94572944,95856912,97420256,98811632,99958576,100896304,101537680
Texas,341113952,347045200,352494896,358304368,364449968,373753280,381311728,388944624,396828176,402328976
United States,4559503280,4602003088,4641726928,4684884768,4728265584,4774078592,4819699312,4865503456,4908344464,4939928608
Utah,36539440,37197040,37762192,38425280,39323504,40408112,41563936,42608464,43574736,44222160
Vermont,9795568,9847072,9885728,9918720,9939440,9966272,9975696,9986416,9997072,10011856
Virginia,115173792,116589968,117871632,119609200,121233680,122779600,124016000,125335936,126814992,128016384
Washington,95771552,96837584,97665840,98858320,100116880,101932048,103385392,104995696,106678816,107592640
West Virginia,28823696,28886624,28996720,29063008,29127872,29246592,29344832,29444960,29564400,29647904
Wisconsin,86509360,87122592,87667248,88224416,88738656,89242480,89772400,90255936,90708224,90991776
Wyoming,7914512,8000272,8055248,8145696,8226512,8362672,8558016,8736688,8957616,9018016
